title,date,year,link,media,reporter
Courtney Pauroso: Vanessa 5000 review – a sex robot seeks human contact,"Aug 18, 2023",2023,https://news.google.com/read/CBMisgFBVV95cUxQVjFaQTI3bnJacnVxaHBQTG9sSHY2VnowN21lVzRWLWFVb0h2TkRMLXpQNW5HRy1RVy00dmpzUVc3ZlN3Z2JPeWRzLUhmWkFsWE1jMUpiaGltcXYxSVZLb3h2Ul9OSUUyQW1RVDdhelBVUElRNXc0QWtYNU4xazVpNFdkcFRfYkNNLUV3Nkg0d1RDMU9PUkFNVW9IS0Y3YmpiVmM5MmlaZVJoSURqcDJERU130gGyAUFVX3lxTFB2Q09OWVgzTjRraDMzQkxzQU9WZllPbDZKVHVPZlpQazBuUC1WY1k3eWY0TzZhUGpfYXJuSUxsZ2ZrREQyZXpiRDFxaEc2NS1GVVU5MG1CYWVWYzA0eFkwNm1DUmZmeHByS3c2T1k4UXVoUy1pZVhSeXNycTI3QjVXVVlsdDZJOHgyUnJiTS1CSE1zX040dzB6cHRzQXNWaGR4QmpXLVJpVGdJbFdreWFSMkE?hl=en-US&gl=US&ceid=US%3Aen,The Guardian,By Rachael Healy
New Hyper-Realistic Sex Doll Blames Itself If You Can’t Get Hard,"May 18, 2023",2023,https://news.google.com/read/CBMingFBVV95cUxPZVAyckZhbGlJSWNwNV9rcmxHQm5laWozTTJjSF94UzgySXptWGFmbkxzaEVaVjQyTUVzS01fMFdOVDdoS0lyZVhTQm5iTEFXRnBpaWxBYTJLcjlyaEprenloS3R3MUJUSjhEQlc0S1IxZXFqU3FPZVRERTNFWmp0NDlqYk03TTM2TGIyYlhiQWFYVk1BbjNJUHVHZ2dZdw?hl=en-US&gl=US&ceid=US%3Aen,The Hard Times,
Constant Companions review – Ayckbourn’s sex robots show our need for messy humanity,"Sep 13, 2023",2023,https://news.google.com/read/CBMiwwFBVV95cUxPUHZELUNlQjZzSElvWGF1M2lzQ3VMaTZ5VG02TV9qa3NxZzVTSzdZeFFmSHRHVUtaRXdzX0NBcnFRX3FHOVFpUC1CMUExR2dEalo3OXJ3dDNrbG1uVFpJd3BVV2hRR0hqTFBIbkxfMXNJeW9kcEdCbDRBVUNBeV9kdXZEOXVDb0dNTXJ2RkcxejdEZ2ZaT2QyaUg4eEZTVmdmVTQ3VkM2THRZdjhvYXBXaWxKeURTaDNSYzJqeGZqTi1feG_SAcMBQVVfeXFMUFltdllYNHR1cFlxdmhHS0t0SGJsTzl0RzV0VFlicWdLV2lUeDFYOWk4Y3YybW1BYXFVSmxranFfMGpMVVo5dGQ2Ni1OMG9rY0xfQmhOWkpldjRqeE9BeDVnSFhEcVB0LXk5UF9BZE4wX2FPZFNDMkRsMzFVald5YmtSVjVCT0x4S1ZXWmxDWElSODJaTFY2Q21qQUJLdEtmTlI0RjdZOEM5VXJ5VThhMjdGZU5NSUdTcG95ak9xQnFBZ3BV?hl=en-US&gl=US&ceid=US%3Aen,The Guardian,By Mark Fisher
Humanoid Robots With Artificial Intelligence Have a Long Way To Go,"Dec 21, 2023",2023,https://news.google.com/read/CBMiuAFBVV95cUxQV0ZOeUdpT3JpZ25WamVqaVZCcHQ0VjRDaGw2elZmME1VMVhRa25jWVdvZGFjc1pVV0VWNVUzblBwVEgtM2M4LVFrcmh2bHlybTh2S2dnMFpRNE9qTy1CV0h6YWJBWHJFT0RkcDQ4UW5PNkpubDdnOUM4UUR1Nzh0Q3R3ZTA5bWRuQWlKLU9WM0Z0cmFNblJrOGd1cWphQkdpdlRlUnZlY0hxdzNwNlMwck85NUd1V2E0?hl=en-US&gl=US&ceid=US%3Aen,Bloomberg,By Nate Lanxon & Jackie Davalos
Could AI Robots Replace Humans for Sex? Ex-Google Executive Issues a Warning About It,"Jul 23, 2023",2023,https://news.google.com/read/CBMisAFBVV95cUxQNzhoN2gwQzRybzdkZE02eG93RE43LVlka294S0hLaElndzJjMHh4Vi1DVzNpVmNtcE9aYmk2Y1lUU2ZUWUw4Tnd1S3Q5RkpuQzZLdW41VlVDX3g2eklXaVFqYVpwMElyaTB6ZFVqNEpsVzM4WU16Smt2b2szcG10RGgwVW1Wa1pFSkNVWVFaX0dzQkpNR3FTdnlQbUEyOE5XM0pQMkRHcndIQVZScktEWQ?hl=en-US&gl=US&ceid=US%3Aen,Tech Times,By Inno Flores
Is It Cheating If She’s a Sex Bot?,"Nov 10, 2023",2023,https://news.google.com/read/CBMiV0FVX3lxTE1LdXFCWUhUNXBHaDIzc1BwTVV3ZTFxVFRhV3Rad3VjSnVQa2FRSFFobW5WZkJDUk9PN210Yy1yZUpscUhxd2lRLUp3SlpfRlJOaFgxX0dQVQ?hl=en-US&gl=US&ceid=US%3Aen,GQ,By Kate Lindsay
"Hurricane man sentenced for downloading images of children, possession of child sex doll","Oct 9, 2023",2023,https://news.google.com/read/CBMiiAJBVV95cUxOTTZUbkxUSGhmWGFONzc5Y1pRdWtwNXpkQ1ZfOVF3VjBEN09FVmtjdW1kZGliMG5rdWRHNWdVdW5SY01BX3ZITnpFMWNuMU1maVhWTzM3dEdmVVlJRUR3N3p2Sm5QenZXVUlSekxrQ1pMUkdXLW9QX0lIbjBYSTQ2UE05eWRFZFBjNlk0VTllNnFiWUdCU1RGaDhJb0VublRDdGwwR3dBZW53aEcwUkh4a2tlaUJsTHRyQVZ6UWE2VWxWQ0JXWVA4c0RrV1FpSFc3MFR0TjRLcEhKS0gydU8zU2hDel9pVUZCTllTQ1l4ZUNEYmhjMlA4X0xFU1FrUXhMUmRHN0R3TXg?hl=en-US&gl=US&ceid=US%3Aen,St. George News,By Cody Ann Blowers
A Paradox Called Artificial Intimacy,"Jul 28, 2023",2023,https://news.google.com/read/CBMie0FVX3lxTE5GRFVxZ29EZGxnYkVBclE3eG00b2NTYjc0Q3ltVy1ZMXMteWI3cll6OVJRN3RXeFBLSnpjTzkyOGNxOUgwc014c2RyMGVxRnRBNmF2VlFhWF9KYUZjV0laUmE5cWtVemxrYzZEcTZsOVBUX2lad3dMcDdEYw?hl=en-US&gl=US&ceid=US%3Aen,Sify,By Sairaj Iyer
The sinister side to female robots?,"Aug 7, 2023",2023,https://news.google.com/read/CBMingFBVV95cUxON3c5YXBTVkJSN3EtUUZkOXdSeGRGcFg3dlJtemxFc2NKTGFGcTFPUUNKZG11MHVUcWJoRnF5R280MjdNOXk0bzVTcm9BelZ5U194VC01SlJfWVpuQkVUSWdEQmpvVW9TWS1tZUl6ckxJMndzWVBjbzI1ckRybnNjenlMejBYOVR0R01uRWtvVEtHTHVrbnYyTmtoYS1tQQ?hl=en-US&gl=US&ceid=US%3Aen,BBC.com,By Mark Shea
Congratulations to Professor Bo Ruberg for Winning the Anne Friedberg Innovative Scholarship Award,"Apr 21, 2023",2023,https://news.google.com/read/CBMiwAFBVV95cUxOMjcyNThDbW56TWpPWG1RRmtjMmhyaFd2c3M0b2Y0T0xLYlRvZjJZOEliTjhoRVhSOVBaTFhFU3B5OHdoQ2RIVkZGamZWN1V6UUp2Nzk0VW1vWWNKYmtCZ04xcUk3dHdGQ1ZobHdUYWJvTnJrWTEtaDFqaW14MVpCUENWeXBZWngxd2M2UVZmdF9nWHFLTHc1MWJxWWNfdkgyMWZvTnFFd05BTHFJX0lJZ1NUSWx0cmM1WXdnYTVtam4?hl=en-US&gl=US&ceid=US%3Aen,UC Irvine,
