ID,title,media,date,datetime,desc,link,img
149,Male sex robots will go on sale this year - and they’ll have ‘bionic penises’,Yahoo News UK,0 months ago,2024-09-16 23:19:41.440990,"The plastic creature will ship this year and will offer a 'bionic penis', its creators have promised, working via a paired smartphone app.",https://uk.news.yahoo.com/male-sex-robots-will-go-sale-year-theyll-bionic-penises-123923144.html&ved=2ahUKEwi4wMb8j8mIAxXsD9AFHdNVBmk4jAEQxfQBegQIBRAC&usg=AOvVaw1xGfhCHyVddeP8qWGAEX8n,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
150,Male sexbots with ‘bionic penises’ and personalities are coming to replace us all,www.attitude.co.uk,0 months ago,2024-09-16 23:19:41.874172,"The creator has revealed he's hard at work on a male version, which will feature a personality and a “bionic penis” that can be made into any size the buyer...",https://www.attitude.co.uk/culture/film-tv/male-sexbots-with-bionic-penises-and-personalities-are-coming-to-replace-us-all-294742/&ved=2ahUKEwi0s-P8j8mIAxXbMtAFHUlRCb04lgEQxfQBegQIARAC&usg=AOvVaw2iK2bqe5vjyyh66Unnwbdn,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
151,Male sex robots with unstoppable bionic penises are coming this year,Metro.co.uk,0 months ago,2024-09-16 23:19:41.876098,RealDoll (maker of those alarming plastic sexbots for men) is making one for women too. And he's quite a hunk (as well as coming with a bionic penis which...,https://metro.co.uk/2018/01/08/male-sex-robots-unstoppable-bionic-penises-coming-year-7213306/&ved=2ahUKEwi0s-P8j8mIAxXbMtAFHUlRCb04lgEQxfQBegQICRAC&usg=AOvVaw0Iuz2TS-UI9pdUbIFuuxhr,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
152,Sex robots may soon replace men in relationships,The Asian Age,0 months ago,2024-09-16 23:19:41.877762,Mathematician says it is 'entirely possible' robots will outperform men and women of the future could choose to live with menbots instead.,https://www.asianage.com/life/more-features/060118/sex-robots-may-soon-replace-men-in-relationships.html&ved=2ahUKEwi0s-P8j8mIAxXbMtAFHUlRCb04lgEQxfQBegQIBBAC&usg=AOvVaw3ZGF5zBfigQlpKMcjmLlO8,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
153,Would child sex robots stop pedophilia — or promote it?,NBC News,0 months ago,2024-09-16 23:19:41.879431,Some say the devices could provide a safe outlet for individuals who are sexually attracted to children. Image: Sexbot. An example of a child sex doll.,https://www.nbcnews.com/mach/science/would-child-sex-robots-stop-pedophilia-or-promote-it-ncna834576&ved=2ahUKEwi0s-P8j8mIAxXbMtAFHUlRCb04lgEQxfQBegQIBxAC&usg=AOvVaw3cuw_xNXG5jrRZytMenTId,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
154,Sexbots Are Ready To Replace Conventional Sex In January 2018,MensXP,0 months ago,2024-09-16 23:19:41.881086,"Is the Indian market ready for the wave of Sexbots, who have the potential to replaces humans as companions. SEXBOTS! If you think that you have heard...",https://www.mensxp.com/special-features/today/41385-sexbots-are-ready-to-replace-conventional-sex-in-january-2018.html&ved=2ahUKEwi0s-P8j8mIAxXbMtAFHUlRCb04lgEQxfQBegQIBhAC&usg=AOvVaw0AbdFcZ1XhePlOcvbctX-q,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
155,"Meet Luci, the Sexbot Who Wants to Seduce You",VICE,1 months ago,2024-08-16 23:19:41.882767,,https://www.vice.com/en/article/meet-luci-the-sexbot-who-wants-to-seduce-you/&ved=2ahUKEwi0s-P8j8mIAxXbMtAFHUlRCb04lgEQxfQBegQIAhAC&usg=AOvVaw2oJaKxkhD8W-yCaFPxgnpI,
156,Are sexbots & 3D porn turning us into digisexuals?,TimesLIVE,1 months ago,2024-08-16 23:19:41.884398,,https://www.timeslive.co.za/sunday-times/lifestyle/health-and-sex/2017-12-09-are-sexbots-amp-3d-porn-turning-us-into-digisexuals/&ved=2ahUKEwi0s-P8j8mIAxXbMtAFHUlRCb04lgEQxfQBegQIAxAC&usg=AOvVaw2fUxjL2vK779vJPpt5YCxX,
157,Could Sex Robots Result in Happier Marriages? New Book Examines Possibility,Inverse,1 months ago,2024-08-16 23:19:41.886090,"Sex robots could lead to a revolution in marriage, as people start choosing to settle down with others for non-sexual reasons, a the author of a new book...",https://www.inverse.com/article/38618-expert-sex-robots-relationship-revolution&ved=2ahUKEwi0s-P8j8mIAxXbMtAFHUlRCb04lgEQxfQBegQIBRAC&usg=AOvVaw0LzX2D_egmNXqhKNj60wz3,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
158,"Harmony the sex robot likes threesomes, but watch out for her jealous streak",New York Post,1 months ago,2024-08-16 23:19:41.887697,"Harmony told Sun Online she loves sex (“Kneeling Fox” position is her favorite), that she can have multiple orgasms (if you have the right technique) and that...",https://nypost.com/2017/12/01/harmony-the-sex-robot-likes-threesomes-but-watch-out-for-her-jealous-streak/%3Futm_content%3Dinf_703_2731_2%26utm_source%3Dtsefacebook%26utm_medium%3Dtsefb%26utm_campaign%3Dtse%26tse_id%3DINF_c76f5e90e1be11e786aad3298b3272c2&ved=2ahUKEwi0s-P8j8mIAxXbMtAFHUlRCb04lgEQxfQBegQIABAC&usg=AOvVaw0HDwX6rWm9uuILuAHekc7c,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
